product_name,product_brand,product_category,product_code,product_series,business,product_identifier
KZ-4000 General Purpose Relay,Johnson Controls,Accessory,"KZ-4000, KZ-4000-4, KZ-4000-5, KZ-4000-6, KZ-4000-7, KZ-4000-8, M-4002-600",Not Specified,Building Automation and Controls,KZ-4000_General_Purpose_Relay-Joh-_M-4002-600-XX-Bs
LC-3000 Load Limiting Controller,Johnson Controls,Field Device,"LC-3000-10, LC-3000-5",Not Specified,Building Automation and Controls,LC-3000_Load_Limiting_Controller-Joh-_LC-3000-5-XX-Bs
Pneumatic Control Cross-Reference,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,Pneumatic_Control_Cross-Reference-Joh-XX-XX-Bs
Smoke Detector,Simplex,Accessories,2098-9715,Not Specified,Not Specified,Smoke_Detector-Sim-2098-9715-XX-Nd
YDAS,YORK,Screw Air Cooled,Not Specified,Not Specified,Chillers,YDAS-YOR-XX-XX-Cs
DPT-2015 Differential Pressure Transmitter,Johnson Controls,Transmitter,"DPT-2015-0, DPT-2015-MNT",Not Specified,Building Automation and Controls,DPT-2015_Differential_Pressure_Transmitter-Joh-_DPT-2015-MNT-XX-Bs
DMPR-KC254 Inside Frame Mounting Kit,Johnson Controls,Damper Parts and Accessories,"DMPR-KC055, DMPR-KC254, DMPR-KC255, DMPR-KC256, DMPR-KC257, DMPR-KC258",Not Specified,Building Automation and Controls,DMPR-KC254_Inside_Frame_Mounting_Kit-Joh-_DMPR-KC258-XX-Bs
YDAJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YDAJ-YOR-XX-XX-Cs
YEAJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YEAJ-YOR-XX-XX-Cs
YEAZ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YEAZ-YOR-XX-XX-Cs
DMPR-KC001 Blade Pin Extension Support Bracket,Johnson Controls,Damper Parts and Accessories,"DMPR-KC001, DMPR-KC003, DMPR-KC004, DMPR-KC005, DMPR-KC006, DMPR-KC007, DMPR-KC008",Not Specified,Building Automation and Controls,DMPR-KC001_Blade_Pin_Extension_Support_Bracket-Joh-_DMPR-KC008-XX-Bs
DMPR-KC008 Blade Pin Extension Support Bracket,Johnson Controls,Damper Parts and Accessories,"DMPR-KC001, DMPR-KC003, DMPR-KC004, DMPR-KC005, DMPR-KC006, DMPR-KC007, DMPR-KC008",Not Specified,Building Automation and Controls,DMPR-KC008_Blade_Pin_Extension_Support_Bracket-Joh-_DMPR-KC008-XX-Bs
